
Evaluation of arena:
average time:        72.87 s
average path length: 28.87 m
average velocity:    0.396  m/s
total number of collisions: 0

Evaluation of teb:
run_2: [75.0, 29.027, 0.387, 0]
run_3: [75.0, 29.098, 0.388, 0]
run_4: [74.5, 28.984, 0.389, 0]
run_5: [75.0, 29.112, 0.388, 0]
run_6: [75.0, 29.105, 0.388, 0]
run_7: [74.5, 29.0, 0.389, 0]
run_8: [75.5, 29.145, 0.386, 0]
run_9: [75.0, 29.047, 0.387, 0]
run_10: [74.5, 28.993, 0.389, 0]
run_11: [74.5, 29.017, 0.389, 0]
run_12: [74.5, 28.963, 0.389, 0]
run_13: [75.0, 29.066, 0.388, 0]
run_14: [74.5, 28.976, 0.389, 0]
run_15: [74.5, 29.019, 0.39, 0]
run_16: [74.5, 29.026, 0.39, 0]
run_17: [74.5, 28.979, 0.389, 0]
run_18: [74.5, 29.015, 0.389, 0]
run_19: [75.0, 29.055, 0.387, 0]
run_20: [75.0, 29.049, 0.387, 0]
run_21: [74.5, 29.007, 0.389, 0]
run_22: [75.0, 29.017, 0.387, 0]
run_23: [75.0, 28.998, 0.387, 0]
run_24: [74.5, 28.974, 0.389, 0]
run_25: [75.5, 29.032, 0.385, 0]
run_26: [75.5, 29.138, 0.386, 0]
run_27: [75.5, 29.136, 0.386, 0]
run_28: [74.5, 28.93, 0.388, 0]
----------------------   teb summary: ----------------------
average time:        74.833 s
average path length: 29.034 m
average velocity:    0.388  m/s
total number of collisions: 0
