Time,data
188.800003776,1
352.200007044,2
519.200010384,3
681.300013626,4
850.700017014,5
1018.250020365,6
1184.850023697,7
1351.700027034,8
1523.850030477,9
1693.700033874,10
1861.350037227,11
2102.900042058,12
2267.750045355,13
2435.750048715,14
2604.250052085,15
2770.450055409,16
2935.350058707,17
3104.100062082,18
3270.50006541,19
3437.250068745,20
3607.700072154,21
3776.750075535,22
3942.700078854,23
4113.450082269,24
4282.950085659,25
4449.550088991,26
4609.900092198,27
4772.850095457,28
4942.850098857,29
