episode,nearest distance for adult,nearest distance for child,nearest distance for elder,reward,done_reason
1.0,1.916826079516405,1.6050075913604152,4.862960156585361,10.882590000000006,2.0
2.0,0.8189049648011526,1.1439107688351364,1.2752541970313513,2.192012517684935,2.0
3.0,3.498864369710722,1.3168370184341742,9.102279679535735,7.080870000000002,2.0
4.0,1.7400896550850007,3.4116196074941962,2.123549262550992,4.78182,2.0
5.0,5.169838262017224,6.980460639430877,0.03318081955792027,-11.412077217785829,1.0
6.0,1.4950345539180967,0.5548575223037515,3.7252244204759544,9.167908110876862,2.0
7.0,4.31579810876532,10.331418333690909,13.088205217218718,5.14925,2.0
8.0,0.6906889998633092,1.6387740114950455,0.9927863366075839,-4.874933492847518,1.0
9.0,3.203117535035734,6.619685739470769,3.400397402937305,10.306660000000004,2.0
10.0,0.898777255040051,7.86228243376633,4.548249362626214,4.670967226941886,2.0
11.0,1.4035379579830447,2.159223084070734,6.718063051947712,6.490469999999999,2.0
12.0,0.938641811744016,1.1964593556601022,1.924772677976813,7.707938866466995,2.0
13.0,1.5846050065388864,1.245287568765237,1.2359899724510044,6.539950089878264,2.0
14.0,5.656987510254411,2.4811056154335476,1.243340032575915,4.043528462438742,2.0
15.0,1.5386536813566871,1.6060941658761279,2.4919090633097007,8.660730000000001,2.0
16.0,5.38243786712103,1.5633776302005549,3.6842260937667937,6.698740000000001,2.0
17.0,3.5064921194078065,2.7727972449469998,3.780169695420395,5.85375,2.0
18.0,0.8788523927724705,2.2450360136300658,1.58911518439581,5.296876213144232,2.0
19.0,2.3530491592021043,1.6983246710584963,5.028453263868663,4.043200000000001,2.0
20.0,4.974391986473109,2.602905795592368,1.370194428179663,8.233536339644445,2.0
21.0,3.368760214049685,1.2792617425176132,5.893114336318812,6.151130000000001,2.0
22.0,2.9313444606311903,7.1081146833593944,2.2013216596501692,5.90305,2.0
23.0,1.791974967571953,4.191084406461449,0.6379704411839326,-3.819976634091692,2.0
24.0,2.1961114029687367,0.5653606331443867,5.0432906311420505,-10.233461846495064,1.0
25.0,1.6951926058394895,2.0409713414824036,1.5014101588680955,9.559160000000004,2.0
26.0,2.4240458633392006,0.3754770988707324,2.668844198366105,9.294175215716388,2.0
27.0,4.506328287057785,4.7474687896452235,1.952464664005692,5.33059,2.0
28.0,2.856984510992322,1.9595582439549093,2.050526502552414,5.700759999999999,2.0
29.0,6.304283239816499,0.24365289645084454,5.614656354324139,-4.327766799901662,1.0
30.0,2.624115457071061,2.681892202836829,1.6128284331655078,6.859110000000002,2.0
31.0,5.346527288460249,5.577950705601795,4.3406665758693315,6.1895,2.0
32.0,3.698593887505642,1.127696727972109,1.62239668473646,8.9386058123572,2.0
33.0,1.99312132456749,3.3251101286314872,2.598000722722356,5.720230000000001,2.0
34.0,2.1255520410240174,1.3519702761914691,2.9413632767783597,7.623809999999997,2.0
35.0,1.9631070881995158,3.9783471574981863,7.161638727457049,7.22621,2.0
36.0,1.6903824922421475,1.3063153152766984,2.2187127572337006,10.622360000000004,2.0
37.0,1.1360188530915345,1.507179774441395,1.0889686973562605,1.5276738718172884,2.0
38.0,5.015119571249302,2.3838028882508846,1.6325877247511045,5.02097,2.0
39.0,1.1286336905224594,1.8902853634935666,1.7341184957918443,4.371319999999998,2.0
40.0,5.994544131949249,0.9871195652211634,9.028982227171557,-3.5346200201010225,1.0
41.0,3.324035831396953,1.5539453550379654,4.050857292033785,6.56271,2.0
42.0,1.5903147141740888,3.3878127919455934,6.462317016872567,4.81329,2.0
43.0,6.137599841941612,5.917755485182201,6.359265923166686,-4.15,1.0
44.0,2.0957368578538977,2.522819485674752,1.2560542007515763,5.50851829335777,2.0
45.0,2.2720853767159817,7.778291599739574,3.561641580742339,7.140089999999999,2.0
46.0,2.2389249346960556,1.5772483445301404,2.85230143217328,5.450869999999999,2.0
47.0,2.4248534000284847,1.603972669519502,2.6449992160846048,7.811350000000003,2.0
48.0,0.7676516973398997,4.330929127652116,2.6064799973335853,4.483754273191654,2.0
49.0,1.1481980476525904,0.6907862582147172,1.4609131021264605,3.276127660786044,2.0
50.0,2.5934053030015733,1.570345240998585,2.434245800124964,7.808280000000001,2.0
51.0,0.705359950523599,1.8405126241926948,1.9501393704108034,4.102942838478626,2.0
52.0,3.276809327976474,1.0133651409358715,2.019961281079134,8.36268512202719,2.0
53.0,3.292671830056046,0.8962898821965218,3.7838507267096437,-2.180670569987662,1.0
54.0,2.9482732893244044,4.108105044328263,1.3809405147775462,4.124179433902179,2.0
55.0,4.486109417534903,1.2025222948138556,3.1951741427472338,6.606170000000001,2.0
56.0,3.9218311640692556,2.064128532764636,7.948737482042001,5.22553,2.0
57.0,1.0402847319897153,0.773224313246487,1.3018713379728364,-2.888836955614621,2.0
58.0,1.0606486518085443,1.7750649629234128,2.121484393958208,7.511110000000005,2.0
59.0,1.5139954534134474,2.192071043854591,1.0485828115496585,6.998054170977117,2.0
60.0,1.6022818962989176,1.0535200642337963,2.9266267834473374,5.849226640211371,2.0
61.0,1.5764259886726892,1.2675261320252647,1.3450218747287828,-1.5293330105181728,2.0
62.0,1.4530674632838383,4.0201375125925445,1.236272692180042,7.016597458527147,2.0
63.0,2.281508635059456,1.1065318262333388,2.1722540001968955,7.89461257288125,2.0
64.0,1.7234914842607556,4.435931388794389,4.51470054707349,5.1839200000000005,2.0
65.0,5.483601439806498,6.904596069725115,2.775575388048469,-4.15,1.0
66.0,0.7852196833973087,1.2726423423730944,2.116851152870866,9.174276659761336,2.0
67.0,2.838383806805384,0.9055577873942118,2.797939018801792,5.767257955628617,2.0
68.0,2.7983844267863067,2.06881859543249,2.2284616557101296,8.511360000000003,2.0
69.0,0.9247481683117627,1.0078548886362864,7.106446287289976,7.416543537095828,2.0
70.0,1.038808066680086,0.6690407049052213,2.1985345644522676,0.5604832122623478,2.0
71.0,1.2131659855166985,2.275921969029114,2.2539117073146917,6.4015499999999985,2.0
72.0,2.379698326850182,1.694110059580717,1.898417554339577,7.560090000000001,2.0
73.0,1.3451639299854552,1.6708198701178953,1.8181817972417675,6.762169999999999,2.0
74.0,1.8611616909313813,3.3373925709164514,1.3562305532717842,9.954403103796333,2.0
75.0,1.7605673269688848,4.850181910885887,1.6655860353915968,6.009299999999998,2.0
76.0,1.6762857740142703,2.509786086904835,4.528972063291734,6.06734,2.0
77.0,1.049183018237976,3.945467192541404,5.429387624781765,5.641530000000001,2.0
78.0,2.1636413418915534,3.5193167004896244,5.4655602412226685,9.813230000000003,2.0
79.0,2.715885803852968,2.646212010284889,1.2712065931411523,6.94988108183238,2.0
80.0,4.354986817475047,1.5961154789679393,4.382786100296676,6.170540000000001,2.0
81.0,0.72558997610052,1.4146585469299606,2.3487872804027523,-0.8632995494456304,1.0
82.0,2.5865233527826175,2.1626963064803015,2.708157694143474,6.935330000000004,2.0
83.0,2.0625688429456384,3.6098769100175634,4.67147711521349,7.865259999999999,2.0
84.0,1.1271781023991205,0.872036990955593,0.9661399119700997,-8.331479961228949,2.0
85.0,0.5168026613442487,2.3965974453115857,3.2064504755850973,-3.240065980280703,1.0
86.0,5.393573556067755,2.048717133167934,0.9232826317534274,3.411077836243454,2.0
87.0,2.4057353594429656,2.1368832611814668,1.8296732888791234,11.097550000000007,2.0
88.0,2.098678659866482,2.940269610889315,2.3293848274191533,7.10271,2.0
89.0,1.9399155405436612,1.3916745461147042,2.6511913408369665,6.8684199999999995,2.0
90.0,1.7420585221056315,1.6050512878660301,2.2740463790585115,11.329510000000004,2.0
91.0,1.1841900228649833,2.6491756820050565,3.4992745941413674,8.116430000000001,2.0
92.0,1.608002325290735,2.3850295749031005,1.5111365113864783,6.5707900000000015,2.0
93.0,1.641279446179638,2.3698240565453523,2.8738699637367415,5.228149999999999,2.0
94.0,2.8169896417936844,3.367053624006861,1.440784004109791,7.482856296936353,2.0
95.0,4.597420415675331,1.268612333972266,2.158676683354823,4.813189999999999,2.0
96.0,2.2297023915483787,3.9096553569824097,4.817558493037089,6.431699999999999,2.0
97.0,3.1183148037834654,1.2128273007962418,1.3803618462251581,4.31188664552122,2.0
98.0,2.6566232748943692,5.664836568942313,5.746073298120471,5.02097,2.0
99.0,0.8381605097886153,0.8779340810883629,1.763141988983272,4.812663756588979,2.0
100.0,3.2105040446545487,0.9600590439846711,3.105408275192226,4.3711570222204745,2.0
101.0,3.484089830295517,3.8086919601627436,2.3439851920265453,9.044650000000006,2.0
102.0,1.5387038434283076,6.824393077287539,2.6378614116769326,4.97804,2.0
103.0,0.5911543117776766,4.0993697371558016,2.5081005498985416,-1.4030182342609696,2.0
104.0,2.981809809682389,1.2698091396957747,1.3767426160054923,4.519241454816331,2.0
105.0,4.115957910551464,1.428945556317784,3.3401677832374643,8.709520000000005,2.0
106.0,2.616825072500126,3.01416529004728,4.54963353428468,7.9053900000000015,2.0
107.0,1.8579201600552506,3.7823627302422156,2.5026848152542818,7.218829999999999,2.0
108.0,3.2647192003008305,1.4378453192920932,3.3502293024793746,5.86214,2.0
109.0,5.470785736401372,5.2613515735606216,5.9720973196242735,6.029399999999999,2.0
110.0,1.1550203019697434,2.0985128915074758,5.134206834426661,8.28315,2.0
111.0,4.039559247554016,2.8408868241708234,1.4826385175971863,3.078496116280573,2.0
112.0,6.212985437977684,2.0622474278399903,8.469070714198743,4.50055,2.0
113.0,2.3144431164474413,0.7291148454828161,1.6751590130068017,6.066243539187969,2.0
114.0,2.0455694679326393,1.7097128243467823,3.5365297256413064,7.959920000000005,2.0
115.0,5.772065989205827,2.0423602567671364,1.6718347241851976,5.53934,2.0
