episode,nearest distance for adult,nearest distance for child,nearest distance for elder,reward,done_reason
1.0,1.460155963798707,1.521719349581521,4.07816796626368,7.137320000000002,2.0
2.0,2.0522610953506186,1.5233669663051368,1.3126397294062053,8.324279407265946,2.0
3.0,1.9096199959461762,4.260931811562501,1.4779191964776532,7.751232517726413,2.0
4.0,2.08257809501683,2.8910463027984146,2.819606008694048,8.33981,2.0
5.0,2.120823983269258,8.092432824136402,7.63545829135409,-4.15,1.0
6.0,1.9359384337366954,1.6399433288721412,2.3020636929560556,7.766450000000001,2.0
7.0,1.2302524412045281,1.9058180062310748,1.5023565685378049,8.958780000000004,2.0
8.0,0.7748846564753534,7.1687479354273655,5.135132652836942,-4.27789320273433,1.0
9.0,1.3917732982916846,1.0589594771285784,2.343236438108976,6.415781593544893,2.0
10.0,1.751878533565276,1.270468276659255,1.2403961069439104,8.7537240470595,2.0
11.0,1.2512902728569304,1.2415019596533337,8.261291997837244,8.195170000000001,2.0
12.0,1.9643008944706382,0.9168269466971509,2.7785374030580154,5.194393231660122,2.0
13.0,2.601680090267699,0.9534647196739403,3.9981098356889007,7.917673846982493,2.0
14.0,1.9879180223677562,3.4288693007453954,1.488134311860558,5.739703463445419,2.0
15.0,1.0506843007544096,1.8819881008537145,3.9623242100459204,8.29041,2.0
16.0,1.8980379413332318,2.7944096932779625,2.812400085460576,6.8290999999999995,2.0
17.0,2.362551913523757,1.1862863873948635,1.550514654840498,9.373027588763895,2.0
18.0,3.465793059123673,3.7847770637893214,1.0707784613525657,3.9082364794045628,2.0
19.0,1.8972360823143246,2.968824108287926,5.701127650321835,4.71871,2.0
20.0,1.4763792156811235,2.3509496869000417,2.0787491061824035,7.104890000000001,2.0
21.0,3.3087985705747287,0.5454301518201732,5.05558576893803,4.706307758384913,2.0
22.0,0.9818215522917005,1.0302064081734332,1.5816916244049835,7.117140165873677,2.0
23.0,1.8906802189033791,2.022874081113303,1.2700812706418902,7.80088065258732,2.0
24.0,1.5045469375412197,3.9171889059154616,4.910459284291521,6.7897099999999995,2.0
25.0,1.0379947241717349,2.377578654599699,2.2393050065893094,9.491710000000005,2.0
26.0,4.141807859229975,2.5470606901042747,4.377022022063582,6.018409999999999,2.0
27.0,1.1624517930501461,2.348177864067446,2.6021497138651637,9.253540000000003,2.0
28.0,1.364428850544323,1.3813719370634527,1.9511199918761288,6.162460000000001,2.0
29.0,2.239095803269233,3.1847090215950264,3.5482147788422265,6.720180000000001,2.0
30.0,0.9276937840150885,1.393273042853341,1.7194045740197963,5.936746127744941,2.0
31.0,3.63847783328084,0.9146601448058106,7.399998414227541,-1.310168170109395,1.0
32.0,0.8406308210325937,2.47651309866739,1.3426356237842105,4.519888013421333,2.0
33.0,2.3806931135238285,1.6837792867648145,2.538002864005365,8.714220000000001,2.0
34.0,3.0734186947644697,0.24492479739204115,6.915243825293202,-4.328354547484868,1.0
35.0,6.24582787827077,2.837266896780616,1.3260381932711347,4.46886731657985,2.0
36.0,2.7461053773583513,1.522001559730638,1.5007241134376161,5.50026,2.0
37.0,1.9154754765581303,3.81504289917014,1.2833079608779696,7.444217031546955,2.0
38.0,12.19021871044038,1.0469296949480007,1.2579533988439713,4.762143502558679,2.0
39.0,1.5272833757384396,0.5433532829296731,1.5242793802159387,-0.9265992264470979,1.0
40.0,1.0723678650177355,2.77552850913564,2.8680633235983897,9.626350000000004,2.0
41.0,1.6980752391369736,2.4700989449591195,1.6121028495814895,8.637070000000001,2.0
42.0,1.2079496145941844,2.132170555817165,1.0364235801512258,5.1620211394490045,2.0
43.0,0.9866583592949006,0.7626139917721496,1.6448413309571424,5.183851161231779,2.0
44.0,3.771984281869041,4.4699759189124215,2.315707035373978,5.355410000000001,2.0
45.0,0.80742481363606,0.6432935434264097,4.71032036502877,5.828688594296221,2.0
46.0,4.703290249586645,2.830585810147834,7.927142798334237,4.552910000000001,2.0
47.0,0.5559107104518825,1.3414063809340155,3.543476368836853,2.54271050153005,2.0
48.0,0.9855989259319967,0.6977060561052238,2.1862875883091366,6.7275865022845505,2.0
49.0,2.780127457410189,2.6972035675009836,5.639656045856404,6.49922,2.0
50.0,1.5463525705094963,3.3543074425882216,2.1066082113706592,8.26462,2.0
51.0,0.9985618933902783,6.796824632493874,2.194910553307022,6.009363793416892,2.0
52.0,2.7011827769231633,0.7538139139865002,3.5686162469349925,2.4085924693529064,2.0
53.0,5.380307717703169,1.6880369073954302,1.2799100636914782,-4.244924815022553,1.0
54.0,1.463899424673816,0.8304572337050661,4.701889251272907,4.880762959304705,2.0
55.0,1.2674625093110055,1.2231613341446042,2.9575274693217497,8.80248,2.0
56.0,3.535489646644355,2.587168302646618,2.4341145776371316,7.10271,2.0
57.0,3.540765342357691,6.034249163007016,1.954868228729508,4.84875,2.0
58.0,4.987562281424293,3.705079784895002,0.5872684449990395,-4.298077296034885,1.0
59.0,3.3628537981788824,2.2853817042436937,1.7163581021810215,8.147650000000004,2.0
60.0,5.516794264759196,0.9928018509329818,4.994100276273287,5.611263699309328,2.0
61.0,3.2310153090856386,3.800264076294578,1.439799946618157,5.295372643402935,2.0
62.0,2.1188996377235636,1.658195704533044,2.264669335128354,7.40841,2.0
63.0,4.078475439387091,3.2526961622647845,1.341344273084502,7.876975144248128,2.0
64.0,1.2066369728706583,1.3579645893776389,1.8193397586737656,10.085290000000002,2.0
65.0,1.299603756794101,3.1734609715199746,1.3367949853343828,7.3771495231338795,2.0
66.0,3.4668703035483848,1.175360249426367,2.260539641677733,11.293132941059614,2.0
67.0,2.4391455179909634,6.531216047882973,1.6574682204800197,5.06406,2.0
68.0,1.8780381479167902,1.0995299587317187,2.333953489435244,6.869737128200057,2.0
69.0,1.252565013133623,2.3445596644675164,4.856314626075059,8.014890000000001,2.0
70.0,1.4211698111130238,1.2893621824068022,2.7597383285982993,8.19721,2.0
71.0,7.99270569068545,2.748810844514853,0.6138443695448046,-6.023730737815917,1.0
72.0,1.4201632901119838,1.1003196536030844,4.242480797701536,6.004130358780817,2.0
73.0,1.312455980535524,1.5950473737255184,2.1091060772536863,9.759950000000003,2.0
74.0,2.3294790337126483,3.071880777221626,0.9934272412333416,7.727305191945367,2.0
75.0,2.168029631068373,0.892963786146876,3.0788113389844467,6.822789596386278,2.0
76.0,1.8276671808206308,2.6278744694745693,1.891140500336195,5.48305,2.0
77.0,1.2655396570791795,1.8444978108911614,1.6607826961099454,5.811210000000001,2.0
78.0,1.3635762242616976,2.265712702917696,1.9307935920847528,7.9712700000000005,2.0
79.0,1.265687398605974,1.820193065687155,1.8298732184588995,7.714230000000001,2.0
80.0,1.7886177853728344,4.02045342626948,2.249969053699595,6.148859999999999,2.0
81.0,6.593215045484298,0.571702619988235,1.7159205450404516,3.9519550258404035,2.0
82.0,3.2705816080429275,1.4711465532394175,5.112270543676859,5.113099999999999,2.0
83.0,2.984587674790617,2.8424270050926013,3.226345269030209,5.20973,2.0
84.0,4.096362037845359,4.449873809429218,1.544035954361582,5.146330000000001,2.0
85.0,1.069034634078131,1.0129061729448372,4.8582218411737115,4.7139887250123635,2.0
86.0,7.297181122987523,5.543520039263837,4.617397585709778,4.899299999999999,2.0
87.0,1.0943548064619022,2.048418796841956,2.0009409532076536,7.450019999999999,2.0
88.0,3.0798067503670894,1.6038958172238498,0.7882712398137633,6.976297202655855,2.0
89.0,1.1724402595635324,1.2517896367496781,3.9843665691016725,7.29587,2.0
90.0,3.481689091367334,1.4387499842992235,7.123296461713079,5.45559,2.0
91.0,1.2265001884923215,3.7320462640250995,2.3312620727909326,7.29587,2.0
92.0,1.1728840522460138,1.1633246405886253,1.93383762464262,7.943418189073473,2.0
93.0,1.302627916484997,1.6991021884888537,0.691930806285799,5.907679361580498,2.0
94.0,2.267409454678399,4.343274553994105,2.6287067081593345,7.180199999999999,2.0
95.0,1.7977002603946708,7.735202491025392,1.7728824658937543,8.231359999999999,2.0
96.0,2.9512086104798216,2.000650446964325,1.5366016055972767,6.02646,2.0
97.0,0.8195527904737658,0.9407559452983154,2.1645022550847766,6.381819286838783,2.0
98.0,5.22816962205078,1.4275119765500328,2.765399657561436,4.90432,2.0
99.0,2.281811727411655,0.7326914107844226,1.8591140372037875,4.073216345005783,2.0
100.0,1.3226567233239734,3.2076047744523732,1.464811454432569,8.586625672541828,2.0
101.0,2.489978532759934,3.0275452299622603,1.0920396862571384,4.102418870195988,2.0
102.0,3.0976104383524414,2.1512597568867644,6.069406672988685,5.98208,2.0
103.0,1.3866840337757373,1.483657385188174,3.9107672631385157,9.639690000000002,2.0
104.0,0.9124825709754883,1.754732920591406,1.8831355497607547,5.699394423369624,2.0
105.0,2.227613263895339,1.9936010511414044,3.0641900751071525,9.287760000000002,2.0
106.0,6.550964304383057,7.425828333840444,3.1054806282048655,6.431699999999999,2.0
107.0,1.9612128412512635,2.5079294654465993,3.483042026866281,7.968550000000001,2.0
108.0,1.2092691212254043,2.2720211592278443,1.0946815317315748,2.3200512842023304,2.0
109.0,2.5759379576765555,4.896530631710832,1.8532706162969033,6.749130000000001,2.0
110.0,9.434823801999277,1.9608120151804775,1.5118560087412272,4.804860000000001,2.0
111.0,1.1197562995709023,3.9614118044200683,1.6922198508973976,5.18723,2.0
112.0,3.9767390589001135,4.654079633465987,2.213141556528105,8.696060000000003,2.0
113.0,2.485253968068664,4.016356428219539,1.2026516172450894,3.5202709234950116,2.0
114.0,1.339888212550595,1.711590452467778,3.252867318475987,7.74176,2.0
115.0,2.5991982309171178,2.099269149779193,1.472542816229068,9.48423802971473,2.0
116.0,4.018215615438074,4.452789615896505,4.996095566233884,-4.136000000000001,1.0
117.0,2.276986416450631,2.630032712674187,2.030740214341947,6.8684199999999995,2.0
118.0,3.3629342659538892,2.6518478945953037,2.3040454668485078,5.02097,2.0
119.0,2.9505068806182884,1.097866600486854,3.3134454986340236,4.582996054247578,2.0
120.0,6.478927268975864,2.1954171109779805,1.4540423310151138,9.17010831490361,2.0
121.0,2.794504796872963,4.335508228919329,4.48096919836308,6.2324,2.0
122.0,1.0228829956094547,5.163443486520488,5.691862427469642,-4.15,1.0
123.0,1.4298856008425254,2.7734567691596914,1.0770215583101581,5.415848058900027,2.0
124.0,1.8816482576591693,0.6439900034464732,0.9150016819644623,3.079859173739421,2.0
125.0,0.9828704516596384,1.1202162547178462,2.2786013912544854,7.475923746008277,2.0
126.0,2.286132845763915,1.374777984627004,3.5532250855518943,7.150370000000001,2.0
127.0,2.0932067274037505,3.3667755558270045,2.1632541189699146,7.312050000000001,2.0
128.0,2.0462560525348423,1.931991448018513,1.9957182077519164,6.713680000000001,2.0
129.0,2.065596699370168,0.8423631614808473,1.1645051648595117,1.514124789745546,2.0
130.0,3.884987423910745,2.5994033439054567,1.6014360441648707,9.721240000000005,2.0
131.0,2.225254341270525,2.7682739499001974,1.7521586758547303,10.011470000000006,2.0
132.0,2.3195696050241392,5.241808606129267,2.086240897374816,5.99442,2.0
133.0,1.0731139374401732,2.1106770232817844,5.0460087452286215,6.08799,2.0
134.0,1.3133413753480476,2.470717289939539,3.276201521992022,8.524460000000001,2.0
135.0,1.2619558510446363,0.9025774895945923,3.064997509810469,-0.477098955753561,1.0
