episode,task_flag,nearest distance for adult,nearest distance for child,nearest distance for elder,nearest distance for forklift,nearest distance for servicerobot,nearest distance for random_wanderer,reward,safe distance adult,safe distance child,safe distance elder,safe distance forklift,safe distance servicerobot,safe distance random_wanderer,done_reason,vip_velocity,robot_velocity,vip_orientation,robot_orientation,vip_rho,robot_pos_x,robot_pos_y,vip_pos_x,vip_pos_y,ped_pos_x1,ped_pos_y1,ped_behavior1,ped_pos_x2,ped_pos_y2,ped_behavior2,ped_pos_x3,ped_pos_y3,ped_behavior3,ped_pos_x4,ped_pos_y4,ped_behavior4,ped_pos_x5,ped_pos_y5,ped_behavior5,ped_pos_x6,ped_pos_y6,ped_behavior6,ped_pos_x7,ped_pos_y7,ped_behavior7,ped_pos_x8,ped_pos_y8,ped_behavior8,ped_pos_x9,ped_pos_y9,ped_behavior9,ped_pos_x10,ped_pos_y10,ped_behavior10,ped_pos_x11,ped_pos_y11,ped_behavior11,ped_pos_x12,ped_pos_y12,ped_behavior12,ped_pos_x13,ped_pos_y13,ped_behavior13,ped_pos_x14,ped_pos_y14,ped_behavior14,ped_pos_x15,ped_pos_y15,ped_behavior15,ped_pos_x16,ped_pos_y16,ped_behavior16,ped_pos_x17,ped_pos_y17,ped_behavior17,ped_pos_x18,ped_pos_y18,ped_behavior18,ped_pos_x19,ped_pos_y19,ped_behavior19
14,2,1.1125895528649357,,,,,,-90.23157526786359,1.4,,,,,,-1,0.9844483882752266,0.7000000086496487,2.838034558909124,2.820953130722046,3.2073236740309907,13.928983688354492,9.598671913146973,16.94265648669326,8.501083003512479,21.86106916274631,13.69912774790415,3,6.097994863007811,10.107824041604959,25,7.190038086537584,5.466720228362902,18,23.78749901892252,1.7756554076008222,18,9.784614841139195,4.7480069762418635,18,11.550307301257552,13.180750171387329,18,6.238080998637466,14.03389855454447,18,17.554155349586257,7.204924163684479,3,19.31470662576653,6.909257489767351,18,4.840874629262394,6.786228233561502,18,9.224778774392135,9.326567068701403,3,5.648372053045634,12.742182829259992,3,10.630312955246055,6.037843572203932,3,17.72909393417775,10.868937848549557,3,18.125100279771114,2.591644486145318,3,13.19580867763523,12.516949999696765,18,12.497802775688612,7.759954532937398,3,8.94638727115197,2.332515875054017,3,18.979206990218824,0.7613479515688611,18
14,2,1.1125895528649357,,,,,,-90.37197437871268,1.4,,,,,,-1,1.088904005223185,0.6999999749447523,2.8253414639355587,2.8733532428741455,3.255528720099929,13.86255168914795,9.620734214782715,16.921958425573585,8.507856113412704,21.81732188598718,13.677944791011505,3,6.139289635734433,10.087873840460917,25,7.211242446122464,5.484082176118831,18,23.743804237851396,1.7973594830618156,18,9.824931149250824,4.77856264075709,18,11.596357720654819,13.175931002096117,18,6.228298055394061,14.041400704982891,18,17.52063861445647,7.164618995706331,3,19.303503838831954,6.935502732201545,18,4.858964998619439,6.794415733098816,18,9.187259035015872,9.289960137465163,3,5.647022301644286,12.753445470385294,3,10.609998118748944,6.083257993877423,3,17.78355549862972,10.873188734817065,3,18.138534039228137,2.5891077742355875,3,13.222797336662076,12.530050085333869,18,12.460630779633206,7.801722050826925,3,8.943669432768285,2.3297305203973306,3,18.949642519859857,0.7622029543327158,18
14,2,1.1125895528649357,,,,,,-90.5151271777411,1.4,,,,,,-1,1.1990003297419765,0.6999999855763954,2.8154187458181283,2.820953130722046,3.301331089490158,13.795055389404297,9.639286994934082,16.899242759717456,8.51553981143481,21.773245182766658,13.656528240328832,3,6.180742023290893,10.067766637349768,25,7.232400373373839,5.501444322636259,18,23.699695205712846,1.8191946365727685,18,9.865485952950069,4.8091653353164,18,11.642470733600623,13.171049800934448,18,6.219955246720442,14.048513420811851,18,17.486984325439746,7.1240241102031145,3,19.292292418827245,6.961732437588481,18,4.877209091579236,6.802746979704515,18,9.14964181017866,9.253164590041088,3,5.64689038329777,12.76396417657431,3,10.589739823956972,6.128839400597526,3,17.838233071097445,10.877436986818822,3,18.150202446221055,2.5868017619074766,3,13.249779831514559,12.543162862739994,18,12.423373431850086,7.843686588694981,3,8.941900595844176,2.32791220683809,3,18.92009332737552,0.7630717889749054,18
14,2,1.1125895528649357,,,,,,-90.66083184420589,1.4,,,,,,-1,1.3279440026014495,0.6999999749447523,2.8078775434049956,2.8733532428741455,3.344749763590182,13.728623390197754,9.661349296569824,16.874149081346687,8.524239316243117,21.728846038244583,13.634887002228346,3,6.222348822098388,10.0475029729939,25,7.253510177052955,5.5188076079975685,18,23.65518548721084,1.8411515812779016,18,9.906279747547385,4.839822920431619,18,11.688647621251533,13.166107188548681,18,6.212988144849085,14.05523976962659,18,17.453198865439354,7.083149826898912,18,19.281071425394487,6.987948512322063,3,4.895605654317499,6.811218726433562,18,9.111926341176801,9.216185395620274,3,5.647912153493755,12.773780087536705,3,10.569541620767529,6.1745824965475835,3,17.89311793392144,10.881682755476099,3,18.160179214743778,2.5847214063466026,3,13.2767541956201,12.556292357812865,18,12.38604654231219,7.88584124657206,3,8.941042470328648,2.327022554233858,3,18.890559157935066,0.7639541556681292,18
14,2,1.1125895528649357,,,,,,-90.80938164454741,1.4,,,,,,-1,1.4603075439714008,0.6999999855763954,2.8025059417801046,2.925753355026245,3.3853319707266336,13.661127090454102,9.679902076721191,16.84660596325118,8.533954039946689,21.684128293187953,13.61302848283088,3,6.264107577895922,10.02708291560078,25,7.274570805355753,5.536173072853185,18,23.61028846373333,1.8632217892724934,18,9.947313773368608,4.870547704969274,18,11.734890327126946,13.161103897649651,18,6.207333572156685,14.061584063778342,18,17.41928834380411,7.042006098724458,18,19.269840220576487,7.0141530078733805,3,4.914153798522585,6.819827597150983,18,9.074111520071893,9.179027552892494,3,5.650025825527174,12.782931557946062,3,10.549406675585242,6.220482194099572,3,17.94820173583808,10.88592612408163,3,18.16853475979999,2.582861516787672,3,13.303718444422328,12.56944261432361,18,12.348666020349844,7.928179452123439,3,8.941058364594944,2.3270246483077544,3,18.861039715710834,0.7648497399787304,18
14,2,1.1125895528649357,,,,,,-90.96109913618497,1.4,,,,,,-1,1.5813086158644714,0.7000000085862962,2.7986416238129586,2.9781534671783447,3.4231314273071485,13.592751502990723,9.694893836975098,16.816821496421507,8.544588900848552,21.63909522955702,13.590959561531642,3,6.306016799111725,10.006506543664802,25,7.295582143177472,5.553542283483781,18,23.565017297394004,1.8853973154706103,18,9.988586159658862,4.9013526286058555,18,11.781201450445048,13.156040800023622,18,6.202929701970091,14.067551616730565,18,17.38525861075932,7.000602528532448,18,19.25859861165946,7.0403480793221105,3,4.932852946218318,6.828570072412272,18,9.036195934411904,9.141696127031016,3,5.653171917897207,12.791454497995215,3,10.52933769882563,6.266533598201664,3,18.003476475539035,10.890167117805971,3,18.175336387035085,2.581216813801657,3,13.330670579737069,12.582617680233989,18,12.311247715894904,7.970694962647444,3,8.9419131258411,2.327882978733717,3,18.831534652133957,0.7657582044536319,18
14,2,1.1125895528649357,,,,,,-91.11629672471459,1.4,,,,,,-1,1.7047215249838241,0.6999999795431103,2.7961198632659605,2.925753355026245,3.457938015817071,13.52368450164795,9.706283569335938,16.784741520994544,8.55613469297114,21.593751603339438,13.568687564992285,3,6.348075870890023,9.985773976521639,25,7.316544830816014,5.570917475854064,18,23.51938490608363,1.907670714920754,18,10.030090839997548,4.932247798045152,18,11.827584226980692,13.150918925669371,18,6.1997161549480175,14.073148553660976,18,17.35111527188825,6.958948383058843,18,19.247346735585925,7.0665359002461665,3,4.9517027782434635,6.8374424781062215,18,8.998177908448884,9.104196282491342,3,5.657293214462816,12.799382656436544,3,10.50933690169487,6.312731991819447,3,18.058934485745223,10.894405713090098,3,18.180648466099974,2.579781983386195,3,13.357608595960135,12.595821590326558,18,12.273807270079427,8.013381863347286,3,8.943573079948704,2.329563378945216,3,18.80204355503764,0.7666791767914236,18
14,2,1.1125895528649357,,,,,,-91.27478976656693,1.4,,,,,,-1,1.8436571557811117,0.7000000085862962,2.795102260083336,2.8733532428741455,3.4905461638322697,13.45530891418457,9.721275329589844,16.7500597359043,8.568656769691847,21.548102955407057,13.546220361783497,3,6.3902849760870035,9.964885363119361,25,7.337460076974723,5.58830140842405,18,23.473403936697114,1.9300350570160443,18,10.0718190614406,4.963241495951505,18,11.874042497830425,13.145739476367007,18,6.197634084076523,14.078381680477843,18,17.316863702302896,6.917052604708514,18,19.236084850909602,7.092718624279592,3,4.970703185992676,6.846440977013607,18,8.960055540361957,9.066533311505122,3,5.6623347143785026,12.806747905352815,3,10.48940593707297,6.35907283679536,3,18.114568417816216,10.898641846822684,3,18.184532591345388,2.5785517280825174,3,13.384530487933597,12.609058345681861,18,12.236359979754264,8.05623456091559,3,8.946005970216984,2.3320329685915047,3,18.772565939092587,0.767612234296778,18
