episode,nearest distance for adult,nearest distance for child,nearest distance for elder,nearest distance for forklift,nearest distance for servicerobot,nearest distance for random_wanderer,reward,safe distance adult,safe distance child,safe distance elder,safe distance forklift,safe distance servicerobot,safe distance random_wanderer,done_reason
1,1.4373573713167374,,,,,,-11.812198671082303,3.0,,,,,,1
1,1.6288325729003343,,,,,,-3.92227133348131,3.0,,,,,,1
1,1.7447794102493845,,,,,,-4.200485123848946,3.0,,,,,,1
1,0.6704243413209533,,,,,,-67.44444056715352,1.1,,,,,,2
1,1.0969604536052582,,,,,,-4.308000203668013,3.0,,,,,,1
1,1.5933615020932177,,,,,,-3.758190414155372,1.4,,,,,,2
2,0.5850465284635464,,,,,,-19.19721541290202,3.0,,,,,,1
1,0.43744869274615533,,,,,,-148.88249858484323,3.0,,,,,,1
1,0.5261349270364476,,,,,,-8.332502121079093,3.0,,,,,,1
1,0.5925640599828739,,,,,,-31.050174937850485,3.0,,,,,,1
1,0.7654986175981469,,,,,,-120.10501632269998,3.0,,,,,,2
1,1.2961652178370417,,,,,,-78.81303674256165,1.4,,,,,,2
1,1.1028881129115147,,,,,,-10.754940258437296,1.1,,,,,,2
1,0.6722422079784884,,,,,,-113.5560858593258,3.0,,,,,,1
1,0.6351504737916908,,,,,,-154.42208946307696,3.0,,,,,,1
1,1.2272389599769755,,,,,,-48.44186587478006,3.0,,,,,,2
2,0.9361879465475691,,,,,,-7.656293994733337,3.0,,,,,,1
1,0.796028044885778,,,,,,-20.244406592344372,1.1,,,,,,1
1,1.4952986544893188,,,,,,-53.92917217608875,1.1,,,,,,2
2,0.705955321454818,,,,,,-67.82112205571802,1.1,,,,,,2
1,1.1554953081964368,,,,,,-12.93970124643025,1.4,,,,,,2
1,0.9832834179949543,,,,,,-141.7977198730383,3.0,,,,,,2
2,0.9891869034934047,,,,,,-37.031241670222386,1.1,,,,,,2
1,0.5377212506740604,,,,,,-83.78719179569765,1.1,,,,,,1
2,1.2657646184488078,,,,,,-26.703194497460807,3.0,,,,,,1
3,0.6490591510306588,,,,,,-23.765258859042916,1.1,,,,,,2
2,1.0940023902490141,,,,,,-9.271817956711068,1.4,,,,,,1
2,0.5505799638645963,,,,,,-102.69421521767866,3.0,,,,,,1
2,0.5898430741464431,,,,,,-2.752648455374908,1.1,,,,,,2
2,1.7965335596095093,,,,,,-6.282393902163079,3.0,,,,,,1
2,0.9946306923834334,,,,,,-12.782941631818593,1.4,,,,,,2
3,1.8210245227672455,,,,,,-10.604569509033382,3.0,,,,,,1
3,0.5388471978186042,,,,,,-53.240017644865105,1.1,,,,,,1
2,0.7494365225507175,,,,,,-54.48141815450716,3.0,,,,,,2
2,0.5574316572202106,,,,,,-48.78199405417735,1.1,,,,,,1
2,0.810212485826509,,,,,,-92.65274134585876,1.4,,,,,,2
3,1.8285820567817086,,,,,,4.860205932682185,3.0,,,,,,1
4,1.136456646945165,,,,,,-21.35628954032312,3.0,,,,,,1
3,1.2977077434817545,,,,,,-50.84053771864586,1.4,,,,,,2
2,1.2283661615897177,,,,,,-27.54974873459517,3.0,,,,,,2
2,1.4626928195104212,,,,,,-41.32375005103382,1.1,,,,,,2
3,1.2531824075687266,,,,,,-7.326242159385133,1.1,,,,,,2
2,1.0807522809343044,,,,,,-26.018146438566077,1.1,,,,,,2
2,2.0816929164954896,,,,,,-29.289631616196743,3.0,,,,,,2
3,1.6193600277259361,,,,,,-0.9160348925606399,3.0,,,,,,1
2,1.1652806865782213,,,,,,-49.74923218438048,1.4,,,,,,2
3,2.472835254044841,,,,,,-1.2447100000000009,1.4,,,,,,1
4,2.0514676013301893,,,,,,-32.21112166525758,1.1,,,,,,2
4,1.5296205302816448,,,,,,-36.86316918944256,3.0,,,,,,1
2,0.7372170602872797,,,,,,-12.762835258301978,1.4,,,,,,2
3,1.2232483762663175,,,,,,-55.58675592971779,1.1,,,,,,2
2,0.8091463758281144,,,,,,-58.308175627256304,1.1,,,,,,2
3,1.946354145227643,,,,,,-8.395194601115424,3.0,,,,,,1
3,1.4919402777643989,,,,,,-88.41483096642652,1.4,,,,,,1
4,1.6977306414444266,,,,,,-38.67310052521801,3.0,,,,,,1
3,0.9378224058091441,,,,,,-20.710022244355844,1.4,,,,,,2
3,0.9636960460925829,,,,,,-126.87762398246113,1.4,,,,,,2
3,1.0224696707189702,,,,,,-42.06596495328587,3.0,,,,,,2
4,0.9463292250117117,,,,,,-64.00912403723295,3.0,,,,,,1
3,0.6387790672559824,,,,,,-37.911447208545226,1.1,,,,,,1
3,1.4389421897528958,,,,,,-36.587481390613036,3.0,,,,,,1
4,0.7060161817879662,,,,,,-13.605767880781752,3.0,,,,,,1
5,1.943963517058588,,,,,,1.1803809905018134,3.0,,,,,,1
3,0.9857428392304033,,,,,,-3.4138852367174084,1.1,,,,,,2
4,0.5202291548615459,,,,,,-17.294932239202673,1.4,,,,,,1
4,2.2060110442173486,,,,,,-65.08652560718673,3.0,,,,,,2
4,0.5925991154084606,,,,,,-18.69636613517992,3.0,,,,,,1
4,0.40089905570929,,,,,,-1.0091149586603105,3.0,,,,,,1
3,1.7279020499387132,,,,,,-10.63918554877703,1.1,,,,,,2
3,0.6489932394494814,,,,,,-57.67638323996223,3.0,,,,,,1
4,1.7405297371665658,,,,,,-0.08410558282724967,3.0,,,,,,1
4,1.1321017418328363,,,,,,-38.40067642266103,3.0,,,,,,2
5,0.7986676814849455,,,,,,-95.37607410774967,1.1,,,,,,2
5,0.9066822256288377,,,,,,-37.146581713763155,3.0,,,,,,2
4,1.0207717659952251,,,,,,-15.89149421860253,1.1,,,,,,1
5,0.9754803656529712,,,,,,-34.95978577748044,1.4,,,,,,2
