Time,data
260.750005215,1
362.800007256,2
621.800012436,3
698.300013966,4
775.800015516,5
935.900018718,6
1015.900020318,7
1310.350026207,8
1393.850027877,9
1495.350029907,10
1599.400031988,11
1701.550034031,12
1803.100036062,13
1882.550037651,14
1986.650039733,15
2076.200041524,16
2240.200044804,17
2317.650046353,18
2404.200048084,19
2487.200049744,20
2589.750051795,21
2666.800053336,22
2767.750055355,23
2870.250057405,24
2956.250059125,25
3113.750062275,26
3203.800064076,27
3283.250065665,28
3375.800067516,29
