World, EntropyRatio, MapSize, OccupancyRatio, NumObs_Cv2, AngleInfo_mean, distance_norm, distance_var, distance_avg
map10,0.005426867616271666,1250.0,0.44279999999999997,5,90.0,0.8,0.0,0.00823
map202,0.028106886469996168,5100.5,0.43750612685030876,9,300.0,0.7,1e-05,0.00931
map75,0.005600051777993927,1250.0,0.40359999999999996,8,225.0,0.5,0.00038,0.08392
map100,0.006757467971452259,1250.0,0.20799999999999996,2,180.0,[],[],None
map18,0.005922965150533051,1250.0,0.38039999999999996,3,180.0,1.0,0.0,0.00524
map41,0.006159236141217344,1250.0,0.3388,9,130.9090909090909,0.3,1e-05,0.01356
map33,0.006079442494084128,1250.0,0.33840000000000003,2,180.0,[],[],None
map7,0.005595642307850206,1250.0,0.41359999999999997,4,120.0,0.8,0.0,0.00804
map4,0.0055799113660977215,1250.0,0.42800000000000005,6,144.0,0.5,0.0,0.00875
map26,0.006295260650195555,1250.0,0.362,12,110.76923076923077,0.4,0.0,0.01224
map29,0.006374213051186069,1250.0,0.31520000000000004,7,180.0,0.9,0.0,0.00913
map84,0.006371580430893266,1250.0,0.27959999999999996,4,180.0,0.5,0.0,0.00761
map37,0.006051671608564495,1250.0,0.3268,2,180.0,[],[],None
map58,0.006128019770199039,1250.0,0.30679999999999996,3,120.0,0.7,0.0,0.00425
map16,0.006528980009672417,1250.0,0.29079999999999995,13,170.52631578947367,0.4,0.0,0.01136
ca671e12-9498-4961-94c9-8f36dbdb5a8f,0.014200397646071216,5000.0,0.5792999999999999,4,308.57142857142856,0.2,7e-05,0.05013
map50,0.005730617019191939,1250.0,0.42800000000000005,4,360.0,0.5,1e-05,0.01365
map60,0.005141723971244124,1250.0,0.5196000000000001,8,216.0,0.2,0.0,0.01778
map19,0.005811803958783082,1250.0,0.37639999999999996,2,360.0,1.0,0.0,0.01232
map93,0.006068323601663876,1250.0,0.30079999999999996,5,216.0,0.8,1e-05,0.00747
map96,0.005604642315007892,1250.0,0.3768,1,360.0,[],[],None
map74,0.006634835256868692,1250.0,0.23960000000000004,2,360.0,1.0,0.0,0.01328
map98,0.0062389153542515155,1250.0,0.2972,2,180.0,[],[],None
map65,0.006534836270647349,1250.0,0.248,6,240.0,0.3,0.0,0.00941
map13,0.0066609057376244675,1250.0,0.24639999999999995,20,75.78947368421052,0.5,0.0,0.01311
map45,0.006367818533852682,1250.0,0.3056,9,108.0,0.6,0.0,0.00932
map14,0.0066801857194150145,1250.0,0.25360000000000005,12,120.0,0.3,1e-05,0.01399
map69,0.005749285287834898,1250.0,0.36319999999999997,5,270.0,0.6,0.0,0.01035
map201,0.028155879029675687,5100.5,0.4308401137143417,21,263.4146341463415,0.6,0.0,0.01084
map76,0.005458815426524572,1250.0,0.41159999999999997,4,240.0,0.8,0.0,0.01004
map86,0.005024128170160214,1250.0,0.506,6,154.28571428571428,0.7,9e-05,0.03824
map3,0.006925979261749651,1250.0,0.1784,13,180.0,0.5,0.0,0.0132
map53,0.0054333398945241255,1250.0,0.4212,2,180.0,1.0,0.0,0.00065
map95,0.006052351560935042,1250.0,0.2952,6,294.54545454545456,0.5,0.0,0.01473
map88,0.0049061006513489575,1250.0,0.5172,3,360.0,0.7,0.0,0.00852
map43,0.006079921770995989,1250.0,0.34519999999999995,9,270.0,0.6,1e-05,0.01392
map17,0.006472021824085446,1250.0,0.3036,14,227.3684210526316,0.6,0.0,0.01346
map31,0.0061329339428907005,1250.0,0.3316,6,90.0,0.7,0.0,0.00684
map90,0.006595646530066883,1250.0,0.23399999999999999,2,360.0,1.0,0.0,0.01303
map36,0.006280139488487891,1250.0,0.3156,4,120.0,0.5,0.0,0.00617
map71,0.005573666593532706,1250.0,0.4236,7,102.85714285714286,0.6,0.0,0.0124
map56,0.005104733100854618,1250.0,0.5092,11,303.1578947368421,0.5,4e-05,0.02499
map93,0.00570501486101126,1250.0,0.36360000000000003,1,360.0,[],[],None
map71,0.006760648268484694,1250.0,0.20840000000000003,6,60.0,0.3,0.0,0.00773
map72,0.005362348041932234,1250.0,0.4232,2,180.0,1.0,0.0,0.00045
map49,0.005886507166330535,1250.0,0.35319999999999996,4,90.0,0.5,0.0,0.00453
map12,0.006643716577353823,1250.0,0.25,13,180.0,0.5,1e-05,0.01188
map46,0.00537772997739973,1250.0,0.4224,2,180.0,[],[],None
map47,0.005293914092861564,1250.0,0.4436,2,360.0,1.0,0.0,0.02031
map67,0.006407347354916209,1250.0,0.2892,2,180.0,[],[],None
map87,0.006616645386826046,1250.0,0.23440000000000005,1,360.0,[],[],None
map5,0.005513281196888059,1250.0,0.4044,5,360.0,0.6,0.0,0.01022
map10,0.006781931977868496,1250.0,0.21599999999999997,16,120.0,0.6,1e-05,0.01136
map30,0.006317330938592763,1250.0,0.358,20,72.0,0.5,0.0,0.01287
map42,0.00645670450349632,1250.0,0.27280000000000004,4,120.0,0.8,0.0,0.00878
map66,0.005769006877990242,1250.0,0.3832,5,270.0,0.4,1e-05,0.01251
map60,0.006843740193425219,1250.0,0.22999999999999998,2,180.0,[],[],None
map87,0.004716140751977448,1250.0,0.5608,10,163.63636363636363,0.4,0.00013,0.06265
map24,0.006034851517564829,1250.0,0.3376,4,180.0,0.5,0.0,0.00946
map58,0.005133334572685389,1250.0,0.48160000000000003,3,360.0,0.7,0.0,0.01101
map204,0.0275460544351894,5100.5,0.46681697872757577,7,288.0,0.4,0.0,0.01239
map32,0.006567094198704928,1250.0,0.28280000000000005,4,270.0,0.8,1e-05,0.01345
62c7d148-1d6b-41bc-9e4c-9c4ea7dd24b4,0.015143583599300518,5000.0,0.5443,8,300.0,0.5,0.0,0.00871
map8,0.005649378523986357,1250.0,0.396,7,102.85714285714286,0.6,0.0,0.00695
fee31cb6-4250-4395-bc74-b0fb197213d6,0.014265987042741835,5000.0,0.5744,10,221.53846153846155,0.7,0.0,0.00942
map17,0.006140504420956896,1250.0,0.3304,11,154.28571428571428,0.6,0.0,0.00969
map43,0.006573256223099491,1250.0,0.24760000000000004,2,180.0,1.0,0.0,0.00757
map45,0.006193287553230341,1250.0,0.32799999999999996,6,120.0,0.8,1e-05,0.00821
map23,0.006341144021469694,1250.0,0.3356,16,170.52631578947367,0.4,0.0,0.01347
map41,0.006404955687624741,1250.0,0.2704,2,180.0,[],[],None
map20,0.006432050485424407,1250.0,0.2976,22,60.0,0.5,1e-05,0.0132
map89,0.004666887644691254,1250.0,0.5464,5,216.0,0.6,1e-05,0.01527
map52,0.005435789180178676,1250.0,0.4536,8,270.0,0.5,2e-05,0.0232
map95,0.005500020321541404,1250.0,0.374,2,180.0,[],[],None
map94,0.005955971899650284,1250.0,0.3084,5,72.0,0.8,0.0,0.00268
map57,0.005099471303164339,1250.0,0.4928,12,221.53846153846155,0.6,1e-05,0.01391
map70,0.006295448965420171,1250.0,0.3064,2,180.0,[],[],None
map26,0.0058062405714216165,1250.0,0.38680000000000003,3,180.0,1.0,0.0,0.00872
map5,0.006925979261749651,1250.0,0.1784,17,80.0,0.5,1e-05,0.01194
map62,0.006445083456216104,1250.0,0.27959999999999996,1,360.0,[],[],None
map36,0.006479784377506941,1250.0,0.22560000000000002,8,160.0,0.5,1e-05,0.01469
map46,0.0057889732587643955,1250.0,0.39559999999999995,5,240.0,0.6,1e-05,0.01195
map9,0.005582898733821223,1250.0,0.4052,6,60.0,0.7,0.0,0.00693
map40,0.006280021064892533,1250.0,0.3156,2,180.0,[],[],None
map38,0.006459939662616343,1250.0,0.30079999999999996,6,270.0,0.3,0.0,0.01017
map79,0.005391638586974343,1250.0,0.4444,6,180.0,0.3,2e-05,0.04637
map97,0.005667693506100853,1250.0,0.35,2,180.0,[],[],None
map38,0.006449631019279295,1250.0,0.264,5,180.0,0.6,0.0,0.0059
map96,0.006013830554038199,1250.0,0.2924,2,180.0,[],[],None
map21,0.006480145834817635,1250.0,0.29359999999999997,6,90.0,0.3,0.0,0.00828
map37,0.00642557476015374,1250.0,0.27,5,270.0,0.8,0.0,0.01052
map51,0.005561285313256143,1250.0,0.4376,5,360.0,0.4,1e-05,0.01616
map75,0.006874958351260158,1250.0,0.21399999999999997,3,120.0,0.7,0.0,0.00425
map51,0.005507212210003131,1250.0,0.3772,4,90.0,0.5,0.0,0.00462
map53,0.005905495029677377,1250.0,0.39239999999999997,6,270.0,0.7,1e-05,0.0139
map90,0.004791571752242018,1250.0,0.506,2,360.0,1.0,0.0,0.00738
map44,0.006425988807475819,1250.0,0.31200000000000006,6,60.0,0.3,0.0,0.00903
map31,0.006087856663729862,1250.0,0.40759999999999996,14,112.5,0.6,1e-05,0.01998
map12,0.006184191569420606,1250.0,0.36040000000000005,6,144.0,0.5,0.0,0.00836
map6,0.006007573357507908,1250.0,0.37160000000000004,5,360.0,0.4,0.0,0.01293
map33,0.0061116555189648465,1250.0,0.39359999999999995,20,257.14285714285717,0.7,0.00041,0.0893
map59,0.006232561933549122,1250.0,0.32920000000000005,4,240.0,0.5,0.0,0.00789
map39,0.005917470792083405,1250.0,0.34040000000000004,4,180.0,0.5,0.0,0.00761
map49,0.005987502360290501,1250.0,0.3788,9,303.1578947368421,0.6,2e-05,0.01517
map8,0.006813295996430315,1250.0,0.2268,19,68.57142857142857,0.5,2e-05,0.01319
map20,0.005764772672715858,1250.0,0.378,5,144.0,0.6,0.0,0.00811
map91,0.005839620052222836,1250.0,0.3692,2,180.0,[],[],None
map88,0.00672058959463094,1250.0,0.2148,1,360.0,[],[],None
map3,0.005334842516270038,1250.0,0.44199999999999995,2,360.0,1.0,0.0,0.00263
map68,0.006319392781511106,1250.0,0.2752,2,180.0,[],[],None
map99,0.005720912939589286,1250.0,0.34519999999999995,2,180.0,[],[],None
map94,0.006165617188340315,1250.0,0.32399999999999995,2,360.0,1.0,0.0,0.01395
map2,0.006932399469203788,1250.0,0.17600000000000005,12,102.85714285714286,0.4,1e-05,0.01097
map30,0.006207860406965733,1250.0,0.3328,3,240.0,0.7,0.0,0.00321
map2,0.005557579485889321,1250.0,0.42200000000000004,7,160.0,0.6,0.0,0.00835
map91,0.006078297098434197,1250.0,0.2872,4,90.0,0.5,0.0,0.0041
map13,0.005853237729681029,1250.0,0.3748,4,180.0,0.2,0.0,0.00847
map70,0.005519155204880992,1250.0,0.3984,4,216.0,0.2,1e-05,0.01306
map80,0.005339976430203526,1250.0,0.4436,6,270.0,0.7,1e-05,0.01206
map83,0.006598318399771914,1250.0,0.25880000000000003,2,180.0,1.0,0.0,0.00383
map64,0.00597250509699872,1250.0,0.3356,1,360.0,[],[],None
map61,0.005933421357095047,1250.0,0.34519999999999995,2,180.0,[],[],None
map78,0.005090202213212375,1250.0,0.4992,8,205.71428571428572,0.2,1e-05,0.01698
map61,0.005959400511300154,1250.0,0.36,6,216.0,0.7,0.0,0.01007
map19,0.006602355805588974,1250.0,0.2792,17,137.14285714285714,0.5,1e-05,0.02396
map7,0.0067968993898056855,1250.0,0.21719999999999995,17,75.78947368421052,0.5,1e-05,0.01314
map44,0.006235214111938512,1250.0,0.3044,13,225.0,0.4,0.0,0.01257
map86,0.006715525286407943,1250.0,0.21760000000000002,4,180.0,0.5,0.0,0.00527
map15,0.005895271622154334,1250.0,0.3984,3,360.0,0.7,0.0,0.01728
map11,0.005860302674207347,1250.0,0.36960000000000004,2,360.0,1.0,0.0,0.01745
map6,0.0068084100390512214,1250.0,0.22319999999999995,14,127.05882352941177,0.4,0.0,0.0106
map84,0.004982714663368374,1250.0,0.48960000000000004,3,288.0,0.7,0.0,0.00776
map82,0.0064254427238783435,1250.0,0.22799999999999998,2,180.0,[],[],None
map35,0.006133846413841225,1250.0,0.39039999999999997,18,187.82608695652175,0.6,6e-05,0.04674
map52,0.005278823819512531,1250.0,0.406,4,90.0,1.0,0.0,0.00677
map57,0.006518593330484009,1250.0,0.28200000000000003,5,360.0,0.2,0.0,0.00734
map22,0.006335960380147237,1250.0,0.3176,14,261.8181818181818,0.5,1e-05,0.01386
map97,0.005296031414821939,1250.0,0.4236,2,360.0,1.0,0.0,0.00939
map29,0.00630173792136435,1250.0,0.35640000000000005,12,202.5,0.6,1e-05,0.01125
map21,0.006254040989002382,1250.0,0.3316,8,135.0,0.5,0.0,0.01116
