Time,data
40.100000802,1
168.800003376,2
296.350005927,3
439.750008795,4
570.50001141,5
698.300013966,6
826.350016527,7
954.350019087,8
1081.700021634,9
1206.650024133,10
1333.900026678,11
1460.300029206,12
1589.150031783,13
1732.650034653,14
1859.00003718,15
1988.650039773,16
2118.900042378,17
2261.550045231,18
2388.550047771,19
2517.00005034,20
2643.650052873,21
2773.50005547,22
2900.350058007,23
3027.800060556,24
3152.600063052,25
3280.950065619,26
3410.700068214,27
3537.750070755,28
3663.100073262,29
3790.200075804,30
