Time,data
114.050002281,1
224.050004481,2
387.100007742,3
445.950008919,4
549.400010988,5
558.050011161,6
714.950014299,7
873.650017473,8
934.50001869,9
1027.350020547,10
1032.900020658,11
1035.850020717,12
1190.0000238,13
1198.550023971,14
1259.600025192,15
1362.50002725,16
1423.850028477,17
1518.50003037,18
1528.050030561,19
1588.450031769,20
1689.700033794,21
1851.800037036,22
1921.200038424,23
2188.450043769,24
2255.450045109,25
2376.600047532,26
