episode,nearest distance for adult,nearest distance for child,nearest distance for elder,reward,done_reason
1.0,4.621187622474742,0.951720295020722,1.4747604356878103,5.781378448635849,2.0
2.0,3.347144346411085,4.871542805939209,2.5549329124380784,7.29587,2.0
3.0,1.500217042468401,2.183529750581136,3.6966628096401704,8.292370000000002,2.0
4.0,1.3705900155619464,3.545481584671214,1.952085786029184,9.911810000000004,2.0
5.0,1.946893386504517,3.44930817752794,0.772853230318285,3.6988755662774335,2.0
6.0,3.500016697090784,7.025093992256084,3.126772310160458,4.9559999999999995,2.0
7.0,1.6709989280558777,2.7472846634968655,2.405879849806218,2.7593199999999998,2.0
8.0,1.9333836648699039,0.8096110085555771,1.9788603000251608,3.5063785770036335,2.0
9.0,3.1377328319846614,2.731305418247343,2.280495451770126,8.3048,2.0
10.0,1.1292383293190322,4.854687105543205,1.5537832295586815,3.1070199999999977,2.0
11.0,1.0818050582653418,1.9597504867258777,3.46021254354542,9.528130000000003,2.0
12.0,0.9200105159902148,0.5786009653170021,1.9710132083499927,-1.0629265177923726,1.0
13.0,1.9086269208820041,1.9244572340865786,2.697499862853715,8.490570000000002,2.0
14.0,1.934433454424914,1.839298557530539,3.1374019832355833,9.766770000000001,2.0
15.0,4.796642391556046,1.5432531611960787,4.47714022230347,4.57323,2.0
16.0,1.2817085479234587,1.9400758045593502,1.7400277033456837,7.813870000000002,2.0
17.0,2.078880319703738,1.2260546371679533,3.6993107185544383,6.02514,2.0
18.0,5.2832525034377396,2.039154251217421,1.9100477637969107,5.57146,2.0
19.0,3.796646158343311,4.629046540623255,3.3837480778782845,8.407820000000001,2.0
20.0,1.3477905806198254,1.264392139852855,1.2039622159162193,8.487060535216745,2.0
21.0,1.050623501144691,1.7257067174602476,1.354137557689474,8.329060222001104,2.0
22.0,1.155596594318648,1.9284612830496717,4.08410876915691,6.1895,2.0
23.0,3.4858593050415374,0.47239782269067504,3.4380517563699935,-0.35175884586772943,1.0
24.0,4.228406185707252,3.624075568361047,4.461833466835283,5.437659999999999,2.0
25.0,3.7044780096174903,3.034852391222988,3.700052486283558,8.830190000000004,2.0
26.0,1.5702547783890697,1.5927148740305725,7.321769712938246,5.02783,2.0
27.0,0.972522211229868,1.0074145260928007,4.560574200077701,2.892064611102705,2.0
28.0,3.602389454154506,3.2069859757837023,5.633494977431031,7.82678,2.0
29.0,7.683346926873213,3.1307750094613107,1.8825672078908373,6.0154000000000005,2.0
30.0,2.0977923194398884,0.9546887181873094,1.8545761195153905,11.096255442400949,2.0
31.0,1.4817248687417957,1.2616546088082834,2.1035649856039376,9.720290000000004,2.0
32.0,3.351172234610451,1.3900165073049147,1.316393052188624,6.586962969254434,2.0
33.0,5.221988165082641,1.5617471535995289,6.145957826609824,7.06385,2.0
34.0,1.0542821317432758,2.082290399119984,2.8235840842243465,10.230590000000003,2.0
35.0,1.8992428265502033,1.392049532358216,7.0077942924303,7.937730000000001,2.0
36.0,1.4837835222849853,2.53911859154316,6.249077697064472,9.747870000000006,2.0
37.0,1.935707555866238,5.3473251187204935,2.495119625787844,9.006070000000005,2.0
38.0,2.1812681846551456,2.660760350202512,1.637388035515916,10.976630000000005,2.0
39.0,1.79786739649858,0.9140717932835905,2.817964042065624,6.5158028523186315,2.0
40.0,1.8746354289713865,2.1186490774615914,2.4004180240296615,9.345350000000005,2.0
